,reviewerID,asin,reviewerName,unixReviewTime,reviewText,stars_rating,reviewTime,summary,title,price,imUrl,brand,description,key,topics,url,sentiment,subjectivity,review_length
0,A1AIRCNSF2YEHV,B00BGO0Q9O,Not available,1405987200,"Come off easy, Had it for less than a two weeks, and already lost it. Fell off while walking around at work, and doing my daily activite, Came right off without even noticing it. The way it clips together is a horrible idea.",1,22.07.2014,Bad for active people,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,0,band fall_off wrist,www.amazon.com/gp/profile/A1AIRCNSF2YEHV,-0.08952381,0.487142857,43
1,A2MOIRHND19XQK,B00BGO0Q9O,2BoysMAMA,1405123200,I bought this for my husband for Father's Day and after a few weeks was amazed at everything it tracked and the app's it could sync with to track food like My FitnessPal. Great buy for him!!,5,12.07.2014,... for Father's Day and after a few weeks was amazed at everything it tracked and the app's it could ...,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,7,goal lose calorie food exercise,www.amazon.com/gp/profile/A2MOIRHND19XQK,0.4,0.425,37
2,AFKK3ZDCUAWAP,B00BGO0Q9O,Aaron S. Reddoch,1405209600,Love it.  I have lost almost 20 pounds between the Fitbit and the app,5,13.07.2014,Fitbit does it's job,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,20,goal lose calorie food exercise,www.amazon.com/gp/profile/AFKK3ZDCUAWAP,0.5,0.6,14
3,A2QMQJ41G3JJOU,B00BGO0Q9O,A. Benson,1405123200,"Early on, I noticed it wasn't accurate.  I was using a pedometer before so I knew how long my walk was.  What I found was that Dashboard showed one value and details showed another.  I think that was an app issue.  I also noticed inconsistencies in the sleep chart.  I changed the sleep range and the time of restlessness and awake changes.  How is that possible.  I was awake at 3am and then it moved to 2:50 am.  It seemed to work well enough so I kept using it.  Suddenly it died.  I am pretty sure I had just charged it and it was saying dead.  I plugged it in and it wouldn't charge.  I googled it and the fitbit site advised that I use a toothpick to clear debris from the contacts.  That didn't work.  The site said to try rubbing alcohol.  I used my finger to apply it.  I plugged it in and a light came on but wouldn't stay lit.  If I pushed it into the charger it would light up.  I was about to wedge it in there with the toothpick when it stayed lit.  It fully charged.  I wore it for a walk and during the walk it buzzed to say I had reached 10k.  I had not.  I synced when I got home and at first it said over 11k and then everything reset to zero.  I would not recommend this product.",1,12.07.2014,Unreliable,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,31,band fall_off wrist,www.amazon.com/gp/profile/A2QMQJ41G3JJOU,0.146428571,0.552777778,238
4,A337MH4DW79U1N,B00BGO0Q9O,A. Cole,1404950400,"I rarely give one star reviews on any website, but this product deserves it. I like the concept of the product, and the website is easy to use. They're not 100% accurate, but the food and sleep tracking features are also great. The device doesn't count all your steps sometimes, but I've found when I put the tracker in my shoe while on the treadmill, it's very accurate.However, Fitbit's customer service is horrendous.I had a syncing issue with my device, and it was syncing intermittently but not when I was prompting it to sync. At the time I was using it as my main alarm clock, but I wasn't waking up at the same time each morning and needed to change the alarm nightly before going to sleep.I emailed them after following the steps in the help section of their website. I'm the type of person that does all the suggested fixes, and searches for answers online before contacting customer care.When you file a help ticket, their website instructs you to fill out a form with details like your issue, the type of computer you're using, and your device, etc.The person who answered my query sent me instruction for a PC and told me to check if I was behind a firewall. When I pointed out that I was a Mac user (as per the form they made me fill out), they replied politely, but still didn't give me a useable suggestion...because they took so long to reply that the Fitbit started to sync again by itself. They basically replied that a sync happened at X time, and I should let them know if it still wouldn't sync and if I needed further assistance.I mentioned in my help ticket that my device was having syncing issue all of that week...it's as if they completely disregarded all the information I sent in, and they were answering the parts they deemed fit.My next issue is the bands. I've bought 2 replacement bands since I've had my device, the first replacement within 2 months, and second within another 2 months...2 replacement bands in 4 months suggest the quality of the bands are poor. I've had watches last me for years, and I have a bracelet on my dominant hand that I've worn without problems for the past 5 years. I think I can take care of items meant to be worn on my hand...especially a device I wear on my non-dominant hand, that I do not shower with (even though it says you can shower with it on).Now, I only use the device to measure my steps when I workout, and occasionally as an alarm or to measure my sleep. Funny, but my calorie burn estimate is higher now even though I don't wear the band for half the day (which means it's laying still for hours).",1,10.07.2014,Do not waste your money,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,36,wear work shower water,www.amazon.com/gp/profile/A337MH4DW79U1N,0.081884058,0.435507246,474
5,A55DZIGJ4JGR6,B00BGO0Q9O,A. Cornett,1405641600,Work perfectly.  Wife love it and is using it to get back into shape.,5,18.07.2014,good product,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,37,goal lose calorie food exercise,www.amazon.com/gp/profile/A55DZIGJ4JGR6,0.5,0.533333333,14
6,A32T01LGFAZ2TG,B00BGO0Q9O,A. Delara,1404259200,I returned this item.  It didn't suit my taste.,3,02.07.2014,I returned this item. It didn't suit my taste ...,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,54,return customer_service replace,www.amazon.com/gp/profile/A32T01LGFAZ2TG,0,0,9
7,A2PU7UFCR6MXNW,B00BGO0Q9O,"AdrianN ""AdrianN""",1405814400,Excellent product. My wife and I use it every day. No issues.,5,20.07.2014,Five Stars,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,58,goal lose calorie food exercise,www.amazon.com/gp/profile/A2PU7UFCR6MXNW,1,1,12
8,AE52RX75F3T2G,B00BGO0Q9O,agdrew,1404691200,I have now lost 2 of these. They popped right of my wrist. Didn't even feel it. Needs a better clasp.,1,07.07.2014,Lost 2 of these due to the fit of the strap.,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,67,band fall_off wrist,www.amazon.com/gp/profile/AE52RX75F3T2G,0.392857143,0.517857143,21
9,A24J5BKWHKD9OR,B00BGO0Q9O,A. K.,1405296000,"I bought my first Fitbit last year after trying the Nike Fuelband for about a year. I'll do a comparison of the two for those that are considering one or the other:Build: The Fitbit is a little smaller than the Nike and, at least for me, this is a good thing. The fitting system is a bit more granular, with multiple holes available for all wrist-sizes, as opposed to the Nike which, essentially, gave you 2 choices for whichever band size you happened to order. I'm using the larger black wristband, and it fits perfectly (snug-but-not-too-snug). It doesn't jiggle around when I move (unlike my Nike).Ease of charging: The Nike wins out here, since I could just take it off my wrist and plug into any available USB port, whereas the Fitbit requires you to take the small electronic sensor out of the wristband, insert it into the special adapter provided with the wristband, and then plug into a USB port. I've had one or two issues with plugging into a 2.1A USB port as opposed to a 1A, but generally it charges fine.Ease of syncing: The Fitbit syncs via a USB dongle that plugs into your computer or by Bluetooth to your mobile device (I'm using a Moto X on Android 4.4.3). The dongle seems a little extraneous, but I have one constantly plugged into my home Mac Mini and one in my Macbook Air, so I rarely have reason to turn BT on to sync with my phone or iPad. Syncing occurs pretty quickly and painlessly. The Nike, from what I remember, was also relatively painless, but ONLY could sync with a mobile device unless plugged into the USB port. So, while the Fitbit does inexplicably require a dongle, this dongle makes syncing much more painless.Everyday use: I am a pretty sweaty guy, but neither the Fitbit nor the Nike had any real long-term issues with cleanliness on a daily basis. I wore both in the shower, and this (combined with hand washing during the day) seemed to do the job of cleaning them both. The Nike did have more slots and grooves, and I do remember getting some sunscreen in there one day that was a pain to clean out. As mentioned, the better fit of the Fitbit meant that I didn't really notice it around my wrist as much as I did the Nike, which tended to jiggle around. The Fitbit is also a bit flatter, which meant it didn't really get in the way when typing on a computer or doing any other daily activities.Battery-use: Both started with excellent battery life. I routinely got up to 7 days with my Fitbit before needing a charge (similar with the Nike). However, both had gradual degradation in battery life. With the Fitbit, I actually had to get a replacement after 8 months of use since I could no longer get more than 16 hours or so out of one full charge, which meant I had to charge it every night. This also meant that I couldn't take advantage of the sleep-tracking function since it had to be charging.The Nike also lost charge duration over time, but it was slightly less abrupt and a little more gradual than the Fitbit. After about a year with the Nike, I went from 5-7 days/charge to 2-3.Overall:I'd probably recommend the Fitbit over the Nike, if only because it seems to be a little less intrusive in your life. There are many more differences between the two that I'm sure are outlined in other reviews, like intricacies in the software and which phones/mobile devices they can sync with, and I'm happy to answer questions, but these are the main differences which, for me, mean I'd probably choose the Fitbit if I had to choose again. Make sure you order from Amazon, or somewhere with similar great customer service, since I did have to replace it after 8 months, and that was relatively pain-free through Amazon.",4,14.07.2014,Fitbit vs Nike Fuelband - Deciding factors for me,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",92.85,http://ecx.images-amazon.com/images/I/21ukcP7LNVL._SX300_.jpg,Fitbit,,82,data use monitor information,www.amazon.com/gp/profile/A24J5BKWHKD9OR,0.185496977,0.486032376,663
